"id","name","address","city","latitude","longitude"
71,"CHASE","1317 FOREST AVE","STATEN ISLAND",40.626409,-74.133652
72,"NORTHFIELD BANK","1481 FOREST AVE","STATEN ISLAND",40.624414,-74.137055
73,"CAPITAL ONE BANK","1411 FOREST AVE # 10302","STATEN ISLAND",40.625014,-74.13601
74,"RICHMOND COUNTY SAVINGS BANK","1351 FOREST AVE # 10","STATEN ISLAND",40.625954,-74.134539
75,"TD BANK","1600 FOREST AVE","STATEN ISLAND",40.624657,-74.141992
76,"SIB & T","1460 FOREST AVE","STATEN ISLAND",40.6243159,-74.136988
77,"S I BANK & TRUST","1630 FOREST AVE","STATEN ISLAND",40.624806,-74.14293
78,"MARATHON NATIONAL BANK OF NY","1200 FOREST AVE","STATEN ISLAND",40.626411,-74.129751
79,"FEDERAL HOME LOAN BANK-NY","101 PARK AVE","NEW YORK",40.638119,-74.13172
80,"RICHMOND COUNTY SAVINGS BANK","282 PORT RICHMOND AVE","STATEN ISLAND",40.634831,-74.135626
81,"UNITED CENTRAL BANK","221 PORT RICHMOND AVE","STATEN ISLAND",40.6358759,-74.134787
82,"RICHMOND COUNTY SAVINGS BANK","1214 CASTLETON AVE","STATEN ISLAND",40.634029,-74.123027
83,"VICTORY STATE BANK","755 FOREST AVE","STATEN ISLAND",40.629233,-74.114227
84,"S I BANK & TRUST","800 FOREST AVE","STATEN ISLAND",40.6289309,-74.115827
85,"SIB & T","800 FOREST AVE","STATEN ISLAND",40.6289309,-74.115827
86,"BANK OF AMERICA","261 BROADWAY","NEW YORK",40.635105,-74.117261
87,"VALLEY NATIONAL BANK","120 BROADWAY # 1050","NEW YORK",40.638375,-74.11774
88,"CITIBANK","120 BROADWAY","NEW YORK",40.638375,-74.11774
89,"BANCO POPULAR","120 BROADWAY # 16","NEW YORK",40.638375,-74.11774
90,"HUDSON VALLEY BANK","233 BROADWAY # 2205","NEW YORK",40.635757,-74.117382
91,"ESQUIRE BANK","233 BROADWAY","NEW YORK",40.635757,-74.117382
92,"S I BANK & TRUST","475 FOREST AVE","STATEN ISLAND",40.630648,-74.1055
93,"SIB & T","475 FOREST AVE","STATEN ISLAND",40.630648,-74.1055
94,"CHASE","666 FOREST AVE","STATEN ISLAND",40.629626,-74.111262
95,"NORTHFIELD SAVINGS BANK","519 FOREST AVE","STATEN ISLAND",40.630523,-74.106933
96,"QUEENS COUNTY SAVINGS BANK","631 HOWARD AVE","STATEN ISLAND",40.616564,-74.094287
97,"RICHMOND COUNTY SAVINGS BANK","631 HOWARD AVE","STATEN ISLAND",40.616564,-74.094287
98,"RICHMOND COUNTY SAVINGS BANK","1270 CLOVE RD","STATEN ISLAND",40.6161169,-74.103381
99,"CITIBANK","445 FOREST AVE # 1","STATEN ISLAND",40.630795,-74.104321
100,"CAPITAL ONE BANK","386 FOREST AVE","STATEN ISLAND",40.630919,-74.10227
101,"QUEENS COUNTY SAVINGS BANK","300 HOWARD AVE","STATEN ISLAND",40.622503,-74.088621
102,"NEW YORK COMMUNITY BANK","300 HOWARD AVE","STATEN ISLAND",40.622503,-74.088621
103,"QUEENS COUNTY SAVINGS BANK","5770 HYLAN BLVD","STATEN ISLAND",40.519066,-74.197133
104,"QUEENS COUNTY SAVINGS BANK","375 SEGUINE AVE","STATEN ISLAND",40.516424,-74.196784
105,"CHASE","230 ARDEN AVE","STATEN ISLAND",40.553259,-74.191984
106,"NORTHFIELD BANK","5775 AMBOY RD","STATEN ISLAND",40.527225,-74.200806
107,"CITIBANK","5810 AMBOY RD","STATEN ISLAND",40.526539,-74.201213
