"id","name","address","city","longitude","latitude"
389,"THE PAISA JEWELRY CSP CORP","8416 ASTORIA BLVD",,-73.8851053692,40.7645583
390,"J. GAMA CORPORATION","130 E 116TH ST","NEW YORK",-73.942046823,40.7987416
391,"G&N CELLULAR INC.","4041 LACONIA AVE","BRONX",-73.848099873,40.8861249
392,"LA SOCIA PAWN SHOP CORP.","69 CLINTON ST","NEW YORK",-73.9850666305,40.7192461
393,"PAWN RITE FLATLANDS, LLC","8215 FLATLANDS AVE","BROOKLYN",-73.9117221347,40.6365836
394,"PAWN RITE EMPIRE, LLC","253 EMPIRE BLVD","BROOKLYN",-73.9537680935,40.6637878
395,"PAWN RITE REMSEN, LLC","560 REMSEN AVE","BROOKLYN",-73.9201182756,40.6528433
396,"KING GOLD & PAWN III INC.","1683 PITKIN AVE","BROOKLYN",-73.9110984491,40.6696872
397,"JOYERIA ELIZABETH II CORP.","1495 SAINT NICHOLAS AVE","NEW YORK",-73.9320714755,40.8517044
398,"PA-L-UXE LLC","36 W 47TH ST","NEW YORK",-73.9797721265,40.7571028
399,"PAWN RITE 4TH AVE, LLC","9514 4TH AVE","BROOKLYN",-74.0313119613,40.615721
400,"E Z PAWN CORP.","2807 STEINWAY ST",,-73.9136780549,40.7654037
401,"DJ'S PAWN SHOP JEWELRY CORP.","5812 MYRTLE AVE",,-73.9012921677,40.7004374
402,"WE PAWN ALL INC.","1168 WILLMOHR ST","BROOKLYN",-73.9155490307,40.6583331
403,"PARKSIDE PAWN SHOP, INC.","731 4TH AVE","BROOKLYN",-73.9972939911,40.6609257
404,"NEW YORK BUYERS GROUP INC.","30 W 47TH ST","New York",-73.9795824368,40.7570225
405,"PAWN RITE-4225 WPR, LLC","4225 WHITE PLAINS RD","Bronx",-73.8570109197,40.8942105
406,"GENERATION JEWELERS LLC","9119 QUEENS BLVD",,-73.8698747499,40.7336215
407,"FLATBUSH PAWNBROKER INC.","1 Lefferts Ave","Brooklyn",-73.9614155893,40.6617466
408,"BL3 INC.","767 3rd Ave","New York",-73.9718195541,40.7542624
409,"BL3 INC.","767 3rd Ave","New York",-73.9718195541,40.7542624
410,"WATCHING TIMES ENTERPRISE, INC","244 CANAL ST","NEW YORK",-74.0002394601,40.7181448
411,"EXPRESS PAWN BROKERS INC.","3022 STEINWAY ST",,-73.9151163932,40.763844
412,"EON DIAMOND CORP","71 W 47TH ST","NEW YORK",-73.9807948954,40.7576612
413,"JUAN FRANCISCO TORRES","309 E HOUSTON ST","NEW YORK",-73.9833351018,40.7212647
414,"FORDHAM JEWELRY INC.","127 E FORDHAM RD","BRONX",-73.8985502178,40.8623287
415,"LUCKY CREATIONS INC.","13 W FORDHAM RD","BRONX",-73.9016920377,40.8628399
416,"R.M. JEWELRY & ESTATE BUYERS OF STATEN ISLAND INC.","136 NEW DORP LN","STATEN ISLAND",-74.1160395924,40.5737445
417,"PAWN RITE BROADWAY, LLC","1258 BROADWAY","BROOKLYN",-73.9252472407,40.691234
418,"SEAPOD CAPITAL GROUP, LLC","11102 SUTPHIN BLVD",,-73.7956660254,40.6886136
419,"KING JEWELRY USA, CORP.","59 E KINGSBRIDGE RD","BRONX",-73.8960350442,40.8669649
420,"FAST CASH OF FORDHAM, INC.","980 E 233RD ST","BRONX",-73.8492594023,40.8907617
421,"A AND E PAWN BROKERS, CORP.","1735 PITKIN AVE","BROOKLYN",-73.9090821587,40.6699874
422,"MODELL COLLATERAL LOANS INC.","5002 5TH AVE","BROOKLYN",-74.0104040707,40.6451132
423,"NOSTRAND GOLD DEALERS INC","577 NOSTRAND AVE","BROOKLYN",-73.9497088919,40.6775331
424,"COLON, LEONARD","1721 DR MARTIN L KING JR BLVD",,-73.9562410369,40.813423
425,"A & G PAWN SHOP INC.","438 PORT RICHMOND AVE","STATEN ISLAND",-74.1383616564,40.6316886
426,"EZ PAWN CORP","1426 ROCKAWAY PKWY","BROOKLYN",-73.9024857976,40.6452052
427,"GEM FINANCIAL SERVICES, INC.","4531 BELL BLVD",,-73.7688599873,40.7595808
428,"EA GOLD LTD","3920 BROADWAY","NEW YORK",-73.9415021186,40.8383734
429,"3 KINGS PAWNBROKERS, CORP.","139 MONTGOMERY AVE","STATEN ISLAND",-74.0778936764,40.6383744
430,"KINSMEN CLASSIC BARBERS, INC","219 MADISON ST","NEW YORK",-73.9891577781,40.7127688
431,"E Z PAWN CORP.","4280 HUNTER ST",,-73.9397565172,40.7490165
432,"EMPIRE DVD GAMES & WIRELESS I INC","2147 3RD AVE","NEW YORK",-73.9393660191,40.7987249
433,"1STOP2SHOP.COM2, INC","2883 3RD AVE","BRONX",-73.9166232646,40.8167583
434,"Munoz, Eddie","380 E 10TH ST","NEW YORK",-73.9782412294,40.7261085
435,"ROYAL PAWN AND JEWELRY","3449 BROADWAY","NEW YORK",-73.9525771669,40.8236286
436,"JMCKK, INC","21925 N CONDUIT AVE",,-73.7575146145,40.6665018
437,"NEW LIBERTY PAWN SHOP INC.","8119 LEFFERTS BLVD",,-73.8301594287,40.7089731
438,"TRIBORO PAWN INC","253 EMPIRE BLVD","BROOKLYN",-73.9537680935,40.6637878
439,"NISON'S ELITE MANAGEMENT CORP.","1258 FLATBUSH AVE","BROOKLYN",-73.9548107549,40.6395765
440,"PERSONAL TOUCH CAPITAL GROUP CORP","388 UTICA AVE","BROOKLYN",-73.9315411383,40.6650913
441,"YON F PONTE JR","58 W 183RD ST","BRONX",-73.9060379916,40.8590441
442,"ROBLES GOLD CORP.","11303 SUTPHIN BLVD",,-73.794294597,40.6869218
443,"ROBLES GOLD CORP.","12211 GUY R BREWER BLVD",,-73.7800067305,40.6792621
444,"LOW % PAWNSHOP, INC.","58 W 47TH ST","NEW YORK",-73.9804676593,40.7573971
