"id","name","address","city","latitude","longitude"
77,"Passion Into Practice","509 11th St","Brooklyn",40.665588,-73.981812
78,"Pay-O-Matic","508 Clarkson Ave","Brooklyn",40.65564,-73.942558
79,"Quick Cash Inc","504 Classon Ave","Brooklyn",40.683105,-73.959106
80,"AVW Check Cashing Corp","4918 Avenue K","Brooklyn",40.625763,-73.928016
81,"Ali Dav Assoc Inc","4822 8th Ave","Brooklyn",40.641972,-74.003235
82,"Fast Cash Enterprise","4801 8th Ave","Brooklyn",40.642089,-74.00238
83,"Fifth Avenue Check Cashing","4706 5th Ave","Brooklyn",40.646698,-74.008757
84,"Bandco Check Cashing Svc Inc","4615 Avenue D","Brooklyn",40.642173,-73.932643
85,"David's Check Cashing","460 Rockaway Ave","Brooklyn",40.668674,-73.910788
86,"Merchant Cash Now LTD","4518 3rd Ave","Brooklyn",40.650185,-74.012321
87,"Island Check Cashing 112","451 Broadway","Brooklyn",40.706718,-73.952148
88,"Pay-O-Matic","451 Broadway","Brooklyn",40.706718,-73.952148
89,"Pay-O-Matic","451 Broadway","Brooklyn",40.706718,-73.952148
90,"Sunset Check Cashing Inc","4424 3rd Ave","Brooklyn",40.650822,-74.011986
91,"CFSC","4418 Fort Hamilton Pkwy","Brooklyn",40.64061,-73.994858
92,"Alidav Associates","4401 New Utrecht Ave","Brooklyn",40.640526,-73.994256
93,"Vale Checking Of NY Inc","44 Hoyt St","Brooklyn",40.68935,-73.986175
94,"Cash #4 Tronics","439 Crescent St # 5","Brooklyn",40.678186,-73.870631
95,"Kingston Check Cashing","433 Kingston Ave","Brooklyn",40.664215,-73.942413
96,"Sutter Avenue Check Cashing","424 Sutter Ave # A","Brooklyn",40.667907,-73.903198
97,"Challenger Check Cashing","423 Utica Ave","Brooklyn",40.663983,-73.931516
98,"Cfsc","4229 18th Ave","Brooklyn",40.631238,-73.976007
99,"Challenger Check Cashing","407 Utica Ave","Brooklyn",40.664558,-73.931168
100,"397 Bridge St Check Cashing","397 Bridge St # 2","Brooklyn",40.691327,-73.985056
101,"Action Check Cashing Inc","383 Bushwick Ave","Brooklyn",40.703831,-73.937889
102,"United Check Cashing","382 Mother Gaston Blvd","Brooklyn",40.66972,-73.907227
103,"Metropolitan Check Cashing","381 Metropolitan Ave","Brooklyn",40.714287,-73.955353
104,"Cash It Corp","380 Ralph Ave","Brooklyn",40.675858,-73.922211
105,"Fast Cash Enterprise","372 Livingston St","Brooklyn",40.687413,-73.980136
106,"Quick Cash","372 Central Ave","Brooklyn",40.694098,-73.918249
107,"JWJ Check Cashing Corp","369 Mother Gaston Blvd","Brooklyn",40.670082,-73.906441
108,"David's Check Cashing Inc","365 Central Ave","Brooklyn",40.694198,-73.918228
109,"Pay-O-Matic","364 Graham Ave # A","Brooklyn",40.715211,-73.944438
110,"Davila Associates Inc","361 Court St","Brooklyn",40.681892,-73.996065
111,"Pay-O-Matic","359 Nostrand Ave","Brooklyn",40.68586,-73.950378
112,"Cfsc","350 Kings Hwy","Brooklyn",40.604589,-73.977358
113,"CHECKSPRING Financial Svc","348 Liberty Ave","Brooklyn",40.67427,-73.897109
114,"Pay-O-Matic","346 7th Ave","Brooklyn",40.666561,-73.982193
115,"Alivad Associates Inc","3419 14th Ave","Brooklyn",40.641628,-73.98143
116,"Action Check Cashing Corp","337 Knickerbocker Ave # 7","Brooklyn",40.701157,-73.922389
117,"Khartoom Gram Inc","327 Atlantic Ave","Brooklyn",40.688266,-73.987597
118,"Fast Cash Enterprise","3038 Neptune Ave","Brooklyn",40.577421,-73.997894
119,"Vam Check Cashing Corp","2930 Atlantic Ave","Brooklyn",40.677235,-73.886185
120,"David's Check Cashing","2912 Stillwell Ave","Brooklyn",40.576469,-73.981507
121,"Cash Unlimited","291 Tompkins Ave","Brooklyn",40.687941,-73.944766
122,"Pay-O-Matic","286 Brighton Beach Ave","Brooklyn",40.576694,-73.964394
123,"Hilton Check Cashing","283 Van Brunt St","Brooklyn",40.678971,-74.010627
124,"David's Money Ctr-Bensonhurs","2801 86th St","Brooklyn",40.592934,-73.978838
125,"Check Cashing","28 N 3rd St","Brooklyn",40.718206,-73.964474
126,"Cebco Check Cashier Corp","278 Knickerbocker Ave # A","Brooklyn",40.701931,-73.924332
127,"Pine Check Cashing Corp","2751 Pitkin Ave","Brooklyn",40.675847,-73.870596
128,"Cash Point Of Ny","2728 Mermaid Ave","Brooklyn",40.575573,-73.993871
129,"Cash ATM Systems","2616 Ocean Pkwy","Brooklyn",40.586201,-73.966896
